"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         115,      -6.899956889,      -7.009643846,       -7.23791486,      -7.182445339,      -6.369255769
          0,           0,         116,      -6.922992312,      -7.035222943,      -7.263284539,      -7.206951493,      -6.392934672
          0,           0,         117,      -6.946130337,      -7.060678786,      -7.288303568,      -7.231293872,      -6.416666957
          0,           0,         118,      -6.969356161,      -7.085972983,      -7.312852564,      -7.255504074,      -6.440399559
          0,           0,         119,      -6.992646482,      -7.111086168,      -7.336850471,      -7.279613033,      -6.464078363
          0,           0,         120,      -7.015970863,      -7.136018878,       -7.36026562,       -7.30364824,      -6.487652062
          0,           0,         121,      -7.039292461,      -7.160790908,      -7.383117439,      -7.327633715,      -6.511074956
          0,           0,         122,      -7.062570398,      -7.185435723,      -7.405472196,      -7.351588907,      -6.534309653
          0,           0,         123,      -7.085766041,      -7.210000965,      -7.427433472,      -7.375526814,      -6.557334146
          0,           0,         124,      -7.108843629,       -7.23454126,      -7.449132248,      -7.399456148,      -6.580140869
          0,           0,         125,       -7.13177434,      -7.259112804,       -7.47071028,       -7.42337943,      -6.602737831
          0,           0,         126,      -7.154538636,        -7.2837634,      -7.492303238,      -7.447292775,      -6.625147253
          0,           0,         127,      -7.177128015,      -7.308532231,      -7.514032469,      -7.471194377,      -6.647403605
          0,           0,         128,       -7.19954467,      -7.333444627,      -7.535993508,      -7.495078391,      -6.669548997
          0,           0,         129,      -7.221803124,      -7.358509801,      -7.558246488,      -7.518935372,      -6.691631795
          0,           0,         130,      -7.243929508,       -7.38371738,      -7.580813055,      -7.542750405,      -6.713703399
          0,           0,         131,      -7.265956238,      -7.409040871,      -7.603675814,      -7.566506094,      -6.735810281
          0,           0,         132,      -7.287922863,      -7.434438558,      -7.626779896,      -7.590182886,      -6.757995089
          0,           0,         133,      -7.309871319,      -7.459856249,      -7.650038074,      -7.613755113,       -6.78029172
          0,           0,         134,      -7.331840653,      -7.485232623,      -7.673337986,      -7.637192438,      -6.802720821
          0,           0,         135,      -7.353866982,      -7.510503948,      -7.696549579,      -7.660460862,      -6.825291845
          0,           0,         136,      -7.375980641,      -7.535609925,      -7.719539166,      -7.683522766,      -6.848002316
