"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          22,      -6.682294776,      -6.577404308,      -6.349495601,       -6.12011297,      -6.107938982
          0,           0,          23,      -6.717838973,      -6.621269975,      -6.391101634,      -6.154623719,      -6.148483065
          0,           0,          24,      -6.750417022,      -6.663077949,      -6.432724944,      -6.190722507,      -6.185437298
          0,           0,          25,      -6.780360733,      -6.702781773,      -6.474373689,      -6.228403961,      -6.219100287
          0,           0,          26,      -6.807828905,      -6.740170337,       -6.51618507,      -6.267715755,      -6.249625292
          0,           0,          27,      -6.833283654,      -6.775286408,       -6.55836794,      -6.308687718,      -6.277587889
          0,           0,          28,      -6.857682555,       -6.80870195,      -6.601139019,      -6.351289647,      -6.304186551
          0,           0,          29,      -6.882226727,      -6.841380714,      -6.644683925,       -6.39542798,      -6.330885331
          0,           0,          30,      -6.907945819,      -6.874300329,      -6.689149515,      -6.440969685,      -6.358877205
          0,           0,          31,      -6.935423533,      -6.908147883,      -6.734647759,      -6.487772609,      -6.388757203
          0,           0,          32,      -6.964767454,      -6.943232656,      -6.781247893,      -6.535703763,       -6.42051413
          0,           0,          33,      -6.995769066,      -6.979565036,      -6.828949026,      -6.584636152,       -6.45375603
          0,           0,          34,      -7.028133924,       -7.01699051,      -6.877655208,      -6.634428314,      -6.488017883
          0,           0,          35,      -7.061664067,      -7.055294554,      -6.927173784,      -6.684905417,      -6.523004018
          0,           0,          36,      -7.096317242,      -7.094251767,      -6.977244398,      -6.735855351,      -6.558666841
          0,           0,          37,      -7.132139334,      -7.133627675,      -7.027583961,      -6.787046965,      -6.595114062
          0,           0,          38,      -7.169128922,      -7.173158466,      -7.077921188,      -6.838263383,      -6.632427885
          0,           0,          39,      -7.207121883,      -7.212539757,      -7.128005569,      -6.889335382,      -6.670515509
          0,           0,          40,      -7.245759842,      -7.251445674,      -7.177592768,      -6.940159033,      -6.709071421
          0,           0,          41,       -7.28455033,      -7.289579852,      -7.226424425,      -6.990691375,      -6.747653826
          0,           0,          42,      -7.322985625,      -7.326735099,      -7.274220347,      -7.040927396,      -6.785823344
          0,           0,          43,      -7.360652826,      -7.362828362,      -7.320692401,      -7.090868831,       -6.82325589
          0,           0,          44,      -7.397289741,      -7.397892779,      -7.365576791,      -7.140494916,      -6.859779026
          0,           0,          45,      -7.432769226,      -7.432032377,      -7.408674046,      -7.189740691,      -6.895324509
          0,           0,          46,      -7.467048842,      -7.465370447,      -7.449882885,       -7.23848387,      -6.929855275
          0,           0,          47,      -7.500124261,      -7.498015452,      -7.489218375,      -7.286537799,      -6.963317627
          0,           0,          48,      -7.532010875,      -7.530053951,      -7.526807615,      -7.333648403,      -6.995640822
          0,           0,          49,      -7.562753546,      -7.561563124,      -7.562865741,      -7.379501389,        -7.0267734
          0,           0,          50,       -7.59244435,      -7.592628505,      -7.597659594,      -7.423744878,      -7.056726563
          0,           0,          51,      -7.621224313,      -7.623357534,      -7.631469531,      -7.466032151,      -7.085591414
          0,           0,          52,      -7.649271966,      -7.653881203,       -7.66455863,      -7.506082948,      -7.113533211
          0,           0,          53,      -7.676773835,      -7.684345973,      -7.697153078,      -7.543749272,      -7.140759806
          0,           0,          54,      -7.703896539,      -7.714898798,      -7.729433875,      -7.579063984,      -7.167488315
          0,           0,          55,      -7.730763388,      -7.745670481,      -7.761535603,      -7.612252078,      -7.193914231
          0,           0,          56,      -7.757444922,      -7.776756787,      -7.793548408,      -7.643698842,       -7.22019217
          0,           0,          57,      -7.783962461,      -7.808201096,      -7.825520449,      -7.673886202,      -7.246426983
          0,           0,          58,      -7.810304829,      -7.839980543,      -7.857461895,       -7.70331897,      -7.272678513
          0,           0,          59,      -7.836439657,       -7.87199936,      -7.889346912,      -7.732457238,      -7.298959258
          0,           0,          60,      -7.862332673,      -7.904090079,      -7.921122709,      -7.761673334,      -7.325245811
          0,           0,          61,      -7.887955743,      -7.936025625,      -7.952720235,      -7.791227673,      -7.351485509
          0,           0,          62,      -7.913290506,      -7.967541215,      -7.984067474,      -7.821260962,      -7.377603388
          0,           0,          63,      -7.938333052,      -7.998364226,      -8.015106268,      -7.851804269,      -7.403516424
          0,           0,          64,      -7.963095414,       -8.02825024,      -8.045806906,      -7.882792369,      -7.429149918
          0,           0,          65,      -7.987594067,      -8.057015454,      -8.076178588,      -7.914081049,      -7.454438631
          0,           0,          66,      -8.011849646,      -8.084563746,      -8.106273342,      -7.945469237,      -7.479337494
          0,           0,          67,       -8.03588687,      -8.110899185,       -8.13618037,      -7.976722378,      -7.503830446
          0,           0,          68,      -8.059733755,      -8.136125187,      -8.166016206,      -8.007603546,      -7.527933928
          0,           0,          69,      -8.083418172,      -8.160425667,      -8.195911533,      -8.037901321,      -7.551692315
          0,           0,          70,      -8.106963347,      -8.184035683,      -8.225997284,       -8.06745762,      -7.575167753
          0,           0,          71,      -8.130383479,      -8.207210773,      -8.256391077,       -8.09619112,      -7.598429182
          0,           0,          72,      -8.153682854,      -8.230196375,      -8.287189347,      -8.124107617,      -7.621543176
          0,           0,          73,      -8.176862895,      -8.253205929,      -8.318461357,      -8.151298921,       -7.64457415
          0,           0,          74,       -8.19991627,      -8.276405538,      -8.350247422,       -8.17793303,      -7.667569855
          0,           0,          75,      -8.222829458,      -8.299909191,      -8.382556182,       -8.20423445,      -7.690557577
          0,           0,          76,      -8.245594131,      -8.323774798,      -8.415367649,      -8.230460628,      -7.713553781
          0,           0,          77,      -8.268212887,      -8.348008918,      -8.448637144,      -8.256875527,      -7.736567797
          0,           0,          78,      -8.290687848,      -8.372568051,      -8.482295305,      -8.283724694,      -7.759587003
